"","superkingdom","family","genus","species","kingdom","VC","EukVirBin_noanello","EukVirBin","PhageBin","ContigBin","VC_Genus","Host","Host_specific","OTU","infection"
"NODE_1641_length_662_cov_4_642735_S005-66","Viruses","Small circular virus","Circoviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Mammals_Birds","NODE_1641_length_662_cov_4_642735_S005-66","0"
"NODE_1649_length_2637_cov_370_160156_S010-136","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus SHA","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID21",NA,"NOTSURE_ClusterID985",NA,"Vertebrates","Vertebrates","NODE_1649_length_2637_cov_370_160156_S010-136","Torque teno mini virus SHA"
"NODE_1651_length_1153_cov_6_122677_S010-149","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1651_length_1153_cov_6_122677_S010-149","0"
"NODE_1652_length_716_cov_16_173709_S004-178","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1652_length_716_cov_16_173709_S004-178","0"
"NODE_1652_length_997_cov_6_277174_S007-131","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID73",NA,"Singleton_ClusterID3369",NA,"Vertebrates","Vertebrates","NODE_1652_length_997_cov_6_277174_S007-131","0"
"NODE_1653_length_1006_cov_6_765339_S007-44","Viruses","Picornaviridae","Enterovirus","Rhinovirus A","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1653_length_1006_cov_6_765339_S007-44","Rhinovirus Axx"
"NODE_1654_length_2630_cov_328_579710_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID593",NA,"Vertebrates","Vertebrates","NODE_1654_length_2630_cov_328_579710_S010-136","0"
"NODE_1675_length_2606_cov_14_115856_S010-136","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"NOTSURE_ClusterID55",NA,"NOTSURE_ClusterID1711",NA,"Vertebrates","Vertebrates","NODE_1675_length_2606_cov_14_115856_S010-136","0"
"NODE_168_length_1054_cov_5_291709_S006-74","Viruses","Adenoviridae","Mastadenovirus","Human mastadenovirus C","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_168_length_1054_cov_5_291709_S006-74","Human mastadenovirus C"
"NODE_168_length_1738_cov_11_662252_S007-4","Viruses","Small circular virus","Circovirus","Circovirus VS6600032","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Mammals_Birds","NODE_168_length_1738_cov_11_662252_S007-4","Circovirus VS6600032"
"NODE_168_length_2471_cov_15_711779_S010-139","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID74",NA,"Singleton_ClusterID3436",NA,"Vertebrates","Vertebrates","NODE_168_length_2471_cov_15_711779_S010-139","0"
"NODE_17_length_2904_cov_260_240538_S007-75","Viruses","Anelloviridae","Betatorquevirus","TTV-like mini virus","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID75",NA,"NOTSURE_ClusterID3479",NA,"Vertebrates","Vertebrates","NODE_17_length_2904_cov_260_240538_S007-75","TTV-like mini virus"
"NODE_17_length_6762_cov_32_535228_S010-103","Viruses","Astroviridae","Mamastrovirus","Mamastrovirus 1","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_23","Singleton_ClusterID_23",NA,NA,NA,"Vertebrates","Vertebrates","NODE_17_length_6762_cov_32_535228_S010-103","Mamastrovirus 1a"
"NODE_170_length_2320_cov_44_362461_S004-194","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID6",NA,"NOTSURE_ClusterID211",NA,"Vertebrates","Vertebrates","NODE_170_length_2320_cov_44_362461_S004-194","Anelloviridae sp."
"NODE_1701_length_657_cov_40_600000_S004-194","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1701_length_657_cov_40_600000_S004-194","0"
"NODE_1701_length_997_cov_5_144565_S009-159","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus 4","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1701_length_997_cov_5_144565_S009-159","Torque teno mini virus 4"
"NODE_171_length_2359_cov_6579_811569_S010-157","Viruses","Picornaviridae","Enterovirus","Enterovirus B","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_171_length_2359_cov_6579_811569_S010-157","Enterovirus By"
"NODE_172_length_1434_cov_17_636699_S007-118","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_172_length_1434_cov_17_636699_S007-118","Anelloviridae sp."
"NODE_1726_length_2561_cov_149_189614_S010-136","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID68",NA,"NOTSURE_ClusterID2947",NA,"Vertebrates","Vertebrates","NODE_1726_length_2561_cov_149_189614_S010-136","0"
"NODE_173_length_2589_cov_18_693073_S007-54","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID45",NA,"SURE_ClusterID2051",NA,"Vertebrates","Vertebrates","NODE_173_length_2589_cov_18_693073_S007-54","0"
"NODE_173_length_976_cov_3_971079_S009-199","Viruses","Anelloviridae","Gammatorquevirus","Torque teno midi virus 7","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_173_length_976_cov_3_971079_S009-199","Torque teno midi virus 7"
"NODE_1756_length_2538_cov_9_543681_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID1711",NA,"Vertebrates","Vertebrates","NODE_1756_length_2538_cov_9_543681_S010-136","0"
"NODE_176_length_2079_cov_6_471029_S004-178","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_176_length_2079_cov_6_471029_S004-178","0"
"NODE_176_length_2338_cov_5_241044_S010-157","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID76",NA,"Singleton_ClusterID3615",NA,"Vertebrates","Vertebrates","NODE_176_length_2338_cov_5_241044_S010-157","0"
"NODE_177_length_1777_cov_8_187647_S003-179","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,"NOTSURE_ClusterID77",NA,"NOTSURE_ClusterID3626",NA,"Vertebrates","Vertebrates","NODE_177_length_1777_cov_8_187647_S003-179","Torque teno virus"
"NODE_1771_length_2527_cov_62_766939_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID58",NA,"NOTSURE_ClusterID2605",NA,"Vertebrates","Vertebrates","NODE_1771_length_2527_cov_62_766939_S010-136","0"
"NODE_1777_length_2519_cov_60_293612_S010-136","Viruses","Anelloviridae","Gammatorquevirus","Torque teno midi virus 12","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID58",NA,"NOTSURE_ClusterID2605",NA,"Vertebrates","Vertebrates","NODE_1777_length_2519_cov_60_293612_S010-136","Torque teno midi virus 12"
"NODE_178_length_2698_cov_51_168638_S007-71","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID75",NA,"Singleton_ClusterID3656",NA,"Vertebrates","Vertebrates","NODE_178_length_2698_cov_51_168638_S007-71","Torque teno virus"
"NODE_1780_length_2517_cov_53_695082_S010-136","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID78",NA,"NOTSURE_ClusterID3658",NA,"Vertebrates","Vertebrates","NODE_1780_length_2517_cov_53_695082_S010-136","Anelloviridae sp."
"NODE_179_length_2315_cov_14_495979_S006-28","Viruses","Small circular virus","Circoviridae","0","Viruses_EukaryoticVirus",NA,"NOTSURE_ClusterID_8_contaminomics","NOTSURE_ClusterID32",NA,"NOTSURE_ClusterID384",NA,"Vertebrates","Mammals_Birds","NODE_179_length_2315_cov_14_495979_S006-28","0"
"NODE_1790_length_2506_cov_95_231783_S010-136","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID58",NA,"NOTSURE_ClusterID3681",NA,"Vertebrates","Vertebrates","NODE_1790_length_2506_cov_95_231783_S010-136","0"
"NODE_180_length_2246_cov_14_660212_S004-194","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_180_length_2246_cov_14_660212_S004-194","0"
"NODE_1808_length_1526_cov_5_171153_S003-195","Viruses","Anelloviridae","Gammatorquevirus","Torque teno midi virus 11","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1808_length_1526_cov_5_171153_S003-195","Torque teno midi virus 11"
"NODE_181_length_2163_cov_4_642857_S009-182","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID79",NA,"Singleton_ClusterID3742",NA,"Vertebrates","Vertebrates","NODE_181_length_2163_cov_4_642857_S009-182","Anelloviridae sp."
"NODE_1822_length_2483_cov_93_189942_S010-136","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID21",NA,"NOTSURE_ClusterID985",NA,"Vertebrates","Vertebrates","NODE_1822_length_2483_cov_93_189942_S010-136","0"
"NODE_183_length_2407_cov_9_047210_S009-215","Viruses","Anelloviridae","Gammatorquevirus","Torque teno midi virus 13","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID80",NA,"NOTSURE_ClusterID2423",NA,"Vertebrates","Vertebrates","NODE_183_length_2407_cov_9_047210_S009-215","Torque teno midi virus 13"
"NODE_1830_length_842_cov_4_988235_S006-28","Viruses","Small circular virus","Circoviridae","Circovirus-like genome DCCV-10","Viruses_EukaryoticVirus",NA,"NOTSURE_ClusterID_8_contaminomics","NOTSURE_ClusterID_8_contaminomics",NA,NA,NA,"Vertebrates","Mammals_Birds","NODE_1830_length_842_cov_4_988235_S006-28","Circovirus-like genome DCCV-10"
"NODE_1832_length_695_cov_8_077670_S007-48","Viruses","Picornaviridae","Enterovirus","Rhinovirus A","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1832_length_695_cov_8_077670_S007-48","Rhinovirus Ayy"
"NODE_185_length_2212_cov_33_122248_S004-194","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID44",NA,"NOTSURE_ClusterID2050",NA,"Vertebrates","Vertebrates","NODE_185_length_2212_cov_33_122248_S004-194","0"
"NODE_186_length_2299_cov_35_822232_S010-157","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_186_length_2299_cov_35_822232_S010-157","Anelloviridae sp."
"NODE_1866_length_2438_cov_13_019060_S010-136","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID74",NA,"Singleton_ClusterID3852",NA,"Vertebrates","Vertebrates","NODE_1866_length_2438_cov_13_019060_S010-136","0"
"NODE_187_length_2187_cov_11_215166_S004-194","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID13",NA,"NOTSURE_ClusterID2443",NA,"Vertebrates","Vertebrates","NODE_187_length_2187_cov_11_215166_S004-194","0"
"NODE_187_length_2295_cov_10_296664_S010-157","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_187_length_2295_cov_10_296664_S010-157","0"
"NODE_188_length_1420_cov_399_204021_S009-128","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_188_length_1420_cov_399_204021_S009-128","0"
"NODE_188_length_2987_cov_437_598282_S007-67","Viruses","Anelloviridae","Betatorquevirus","TTV-like mini virus","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID50",NA,"NOTSURE_ClusterID2297",NA,"Vertebrates","Vertebrates","NODE_188_length_2987_cov_437_598282_S007-67","TTV-like mini virus"
"NODE_19_length_2123_cov_6590_816227_S005-126","Viruses","Picornaviridae","Kobuvirus","Aichivirus A","Viruses_EukaryoticVirus",NA,"SURE_ClusterID_12","SURE_ClusterID_12",NA,NA,NA,"Vertebrates","Vertebrates","NODE_19_length_2123_cov_6590_816227_S005-126","Aichivirus A"
"NODE_19_length_2864_cov_5_811984_S009-104","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_19_length_2864_cov_5_811984_S009-104","0"
"NODE_19_length_6837_cov_868_357249_S009-229","Viruses","Astroviridae","Mamastrovirus","Mamastrovirus 1","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_24","Singleton_ClusterID81",NA,"NOTSURE_ClusterID3921",NA,"Vertebrates","Vertebrates","NODE_19_length_6837_cov_868_357249_S009-229","Mamastrovirus 1b"
"NODE_1918_length_1476_cov_7_739099_S003-195","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1918_length_1476_cov_7_739099_S003-195","0"
"NODE_194_length_1994_cov_26_002608_S004-178","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus 10","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_194_length_1994_cov_26_002608_S004-178","Torque teno mini virus 10"
"NODE_195_length_2022_cov_3_186632_S003-142","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_195_length_2022_cov_3_186632_S003-142","0"
"NODE_1953_length_2362_cov_10_609628_S010-136","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID82",NA,"NOTSURE_ClusterID4024",NA,"Vertebrates","Vertebrates","NODE_1953_length_2362_cov_10_609628_S010-136","0"
"NODE_196_length_2626_cov_39_457042_S007-71","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID80",NA,"NOTSURE_ClusterID2423",NA,"Vertebrates","Vertebrates","NODE_196_length_2626_cov_39_457042_S007-71","0"
"NODE_196_length_891_cov_6_706388_S011-79","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_196_length_891_cov_6_706388_S011-79","0"
"NODE_197_length_1260_cov_4_945900_S009-191","Viruses","Endornaviridae","Alphaendornavirus","Phaseolus vulgaris alphaendornavirus 1","Viruses_EukaryoticVirus",NA,"SURE_ClusterID_25","SURE_ClusterID83",NA,"SURE_ClusterID4043",NA,"Plants","Plants","NODE_197_length_1260_cov_4_945900_S009-191","Phaseolus vulgaris alphaendornavirus 1"
"NODE_1970_length_1344_cov_12_337806_S010-123","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID53",NA,"NOTSURE_ClusterID2455",NA,"Vertebrates","Vertebrates","NODE_1970_length_1344_cov_12_337806_S010-123","0"
"NODE_1985_length_753_cov_6_846154_S009-141","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID10",NA,"NOTSURE_ClusterID491",NA,"Vertebrates","Vertebrates","NODE_1985_length_753_cov_6_846154_S009-141","0"
"NODE_199_length_1244_cov_11_324764_S007-2","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID80",NA,"Singleton_ClusterID4070",NA,"Vertebrates","Vertebrates","NODE_199_length_1244_cov_11_324764_S007-2","0"
"NODE_2_length_7480_cov_413_177090_S011-74","Viruses","Picornaviridae","Enterovirus","Enterovirus B","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_2_length_7480_cov_413_177090_S011-74","Enterovirus Bd"
"NODE_20_length_4774_cov_17_507132_S005-183","Viruses","Picornaviridae","Cardiovirus","Cardiovirus B","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_26","Singleton_ClusterID_26",NA,NA,NA,"Vertebrates","Vertebrates","NODE_20_length_4774_cov_17_507132_S005-183","Cardiovirus B"
"NODE_2002_length_2326_cov_19_062250_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID1711",NA,"Vertebrates","Vertebrates","NODE_2002_length_2326_cov_19_062250_S010-136","0"
"NODE_201_length_1033_cov_5_467573_S004-56","Viruses","Reoviridae","Rotavirus","Rotavirus A","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_27","Singleton_ClusterID_27",NA,NA,NA,"Vertebrates","Vertebrates","NODE_201_length_1033_cov_5_467573_S004-56","Rotavirus A"
"NODE_201_length_1631_cov_15_992921_S003-179","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID84",NA,"Singleton_ClusterID4143",NA,"Vertebrates","Vertebrates","NODE_201_length_1631_cov_15_992921_S003-179","0"
"NODE_204_length_2543_cov_60_349148_S010-133","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID1711",NA,"Vertebrates","Vertebrates","NODE_204_length_2543_cov_60_349148_S010-133","0"
"NODE_204_length_579_cov_5358_119522_S006-96","Viruses","Picornaviridae","Salivirus","Salivirus A","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_204_length_579_cov_5358_119522_S006-96","Salivirus A"
"NODE_2060_length_995_cov_7_129630_S007-128","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_2060_length_995_cov_7_129630_S007-128","0"
"NODE_207_length_1220_cov_5_601050_S009-191","Viruses","Endornaviridae","Alphaendornavirus","Phaseolus vulgaris alphaendornavirus 1","Viruses_EukaryoticVirus",NA,"SURE_ClusterID_25","SURE_ClusterID83",NA,"SURE_ClusterID4043",NA,"Plants","Plants","NODE_207_length_1220_cov_5_601050_S009-191","Phaseolus vulgaris alphaendornavirus 1"
"NODE_207_length_1621_cov_8_030440_S011-87","Viruses","Anelloviridae","Alphatorquevirus","Torque teno virus 20","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_207_length_1621_cov_8_030440_S011-87","Torque teno virus 20"
"NODE_208_length_1948_cov_6_258151_S004-178","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID44",NA,"Singleton_ClusterID4272",NA,"Vertebrates","Vertebrates","NODE_208_length_1948_cov_6_258151_S004-178","0"
"NODE_208_length_2737_cov_79_975188_S009-159","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID86",NA,"NOTSURE_ClusterID90",NA,"Vertebrates","Vertebrates","NODE_208_length_2737_cov_79_975188_S009-159","0"
"NODE_21_length_7426_cov_2739_193632_S004-178","Viruses","Picornaviridae","Enterovirus","Enterovirus B","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_21_length_7426_cov_2739_193632_S004-178","Enterovirus Be"
"NODE_21_length_7719_cov_113_238419_S003-179","Viruses","Caliciviridae","Norovirus","Norwalk virus","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_29","NOTSURE_ClusterID77",NA,"NOTSURE_ClusterID4312",NA,"Vertebrates","Vertebrates","NODE_21_length_7719_cov_113_238419_S003-179","Norwalk virus c"
"NODE_21_length_7798_cov_1814_032250_S006-131","Viruses","Caliciviridae","Norovirus","Norwalk virus","Viruses_EukaryoticVirus",NA,"NOTSURE_ClusterID_30","NOTSURE_ClusterID_30",NA,NA,NA,"Vertebrates","Vertebrates","NODE_21_length_7798_cov_1814_032250_S006-131","Norwalk virus d"
"NODE_210_length_1653_cov_4_580584_S011-34","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_210_length_1653_cov_4_580584_S011-34","0"
"NODE_2109_length_2255_cov_34_727273_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_2109_length_2255_cov_34_727273_S010-136","0"
"NODE_2112_length_2250_cov_22_408652_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID58",NA,"NOTSURE_ClusterID3681",NA,"Vertebrates","Vertebrates","NODE_2112_length_2250_cov_22_408652_S010-136","0"
"NODE_212_length_1221_cov_21_215035_S005-167","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_212_length_1221_cov_21_215035_S005-167","0"
"NODE_212_length_2494_cov_34_287547_S007-71","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID48",NA,"Singleton_ClusterID4346",NA,"Vertebrates","Vertebrates","NODE_212_length_2494_cov_34_287547_S007-71","0"
"NODE_216_length_2885_cov_22_629986_S003-190","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID87",NA,"NOTSURE_ClusterID4403",NA,"Vertebrates","Vertebrates","NODE_216_length_2885_cov_22_629986_S003-190","Torque teno virus"
"NODE_217_length_1906_cov_10_586113_S004-178","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID8",NA,"NOTSURE_ClusterID260",NA,"Vertebrates","Vertebrates","NODE_217_length_1906_cov_10_586113_S004-178","Torque teno virus"
"NODE_2175_length_1238_cov_4_098191_S010-123","Viruses","Astroviridae","Mamastrovirus","Mamastrovirus 9","Viruses_EukaryoticVirus",NA,"SURE_ClusterID_7","SURE_ClusterID25",NA,"SURE_ClusterID1161",NA,"Vertebrates","Vertebrates","NODE_2175_length_1238_cov_4_098191_S010-123","Mamastrovirus 9"
"NODE_218_length_2879_cov_153_306924_S003-190","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_218_length_2879_cov_153_306924_S003-190","0"
"NODE_2183_length_1235_cov_6_650259_S010-123","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus 7","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_2183_length_1235_cov_6_650259_S010-123","Torque teno mini virus 7"
"NODE_22_length_7473_cov_1470_279611_S004-106","Viruses","Caliciviridae","Sapovirus","Sapporo virus","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_31","Singleton_ClusterID88",NA,"NOTSURE_ClusterID2685",NA,"Vertebrates","Vertebrates","NODE_22_length_7473_cov_1470_279611_S004-106","Sapporo virus a"
"NODE_2205_length_817_cov_465_912162_S010-64","Viruses","Reoviridae","Rotavirus","Rotavirus A","Viruses_EukaryoticVirus",NA,"SURE_ClusterID_10","SURE_ClusterID39",NA,"SURE_ClusterID1736",NA,"Vertebrates","Vertebrates","NODE_2205_length_817_cov_465_912162_S010-64","Rotavirus A"
"NODE_221_length_1957_cov_4_231383_S003-142","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_221_length_1957_cov_4_231383_S003-142","0"
"NODE_223_length_1632_cov_4_731190_S009-244","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID89",NA,"Singleton_ClusterID4525",NA,"Vertebrates","Vertebrates","NODE_223_length_1632_cov_4_731190_S009-244","Torque teno virus"
"NODE_223_length_1913_cov_34_595861_S004-194","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_223_length_1913_cov_34_595861_S004-194","Anelloviridae sp."
"NODE_226_length_1611_cov_9_851369_S007-99","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID10",NA,"NOTSURE_ClusterID491",NA,"Vertebrates","Vertebrates","NODE_226_length_1611_cov_9_851369_S007-99","Anelloviridae sp."
"NODE_228_length_1870_cov_27_476297_S004-153","Viruses","Anelloviridae","Betatorquevirus","TTV-like mini virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_228_length_1870_cov_27_476297_S004-153","TTV-like mini virus"
"NODE_229_length_2640_cov_16_904019_S009-159","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus 10","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_229_length_2640_cov_16_904019_S009-159","Torque teno mini virus 10"
"NODE_229_length_2995_cov_122_025360_S009-141","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID63",NA,"NOTSURE_ClusterID60",NA,"Vertebrates","Vertebrates","NODE_229_length_2995_cov_122_025360_S009-141","0"
"NODE_2294_length_640_cov_4_209591_S006-52","Viruses","Small circular virus","Circoviridae","Circoviridae sp.","Viruses_EukaryoticVirus",NA,"NOTSURE_ClusterID_8_contaminomics","NOTSURE_ClusterID_8_contaminomics",NA,NA,NA,"Vertebrates","Mammals_Birds","NODE_2294_length_640_cov_4_209591_S006-52","Circoviridae sp."
"NODE_230_length_2995_cov_63_237834_S009-141","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_230_length_2995_cov_63_237834_S009-141","0"
"NODE_2305_length_647_cov_20_740351_S009-141","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_2305_length_647_cov_20_740351_S009-141","0"
